Regiao,CO,CO,CO,CO,CO,N,N,N,N,N,N,N,NE,NE,NE,NE,NE,NE,NE,NE,S,S,S,SE,SE,SE,SE
UF_sigla,DF,GO,MS,MT,TO,AC,AM,AP,MA,PA,RO,RR,AL,BA,CE,PB,PE,PI,RN,SE,PR,RS,SC,ES,MG,RJ,SP
Dendê (cacho de coco),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0,0.08,0.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erva-mate (folha verde),0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.26,35.41,20.15,0.0,0.0,0.0,0.0
Ervilha (em grão),4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,20.04,0.0,0.0,66.98,0.0,2.85
Fava (em grão),0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3.13,0.0,0.0,0.0,2.28,0.0,45.24,23.24,13.13,7.83,4.9,0.17,0.0,0.06,0.0,0.0,0.0,0.0,0.0
Feijão (em grão),0.36,5.19,0.36,9.03,1.97,0.19,0.04,0.16,1.76,1.01,0.5,0.03,0.71,12.21,14.07,2.35,5.02,6.86,1.01,0.13,15.33,4.53,2.22,0.37,11.46,0.04,3.09
Figo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,61.03,1.28,0.0,10.36,0.05,21.16
Fumo (em folha),0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,3.01,1.56,0.01,0.0,0.0,0.0,0.0,0.0,14.98,62.74,17.56,0.0,0.09,0.0,0.0
Girassol (em grão),1.57,54.37,0.0,24.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,12.02,0.0,0.0,4.3,0.0,3.24
Goiaba,1.36,0.68,0.09,0.24,0.0,0.0,0.62,0.0,0.02,1.55,0.37,0.02,2.16,9.89,6.31,1.49,24.92,0.25,1.54,0.8,5.7,1.98,0.09,2.27,4.7,3.47,29.47
Guaraná (semente),0.0,0.0,0.0,3.26,0.0,0.0,39.84,0.0,0.0,0.56,0.87,0.0,0.0,55.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juta (fibra),0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laranja,0.01,1.19,0.19,0.08,0.01,0.08,0.19,0.1,0.01,2.46,0.06,0.25,2.02,8.51,0.19,0.13,0.1,0.03,0.02,5.23,3.43,3.69,0.3,0.27,6.72,0.86,63.88
Limão,0.28,0.27,0.78,0.57,0.01,0.64,0.56,0.0,0.15,6.38,0.61,0.93,0.74,10.57,1.92,0.56,1.43,0.03,0.14,1.45,2.0,2.31,0.08,1.48,8.3,2.07,55.72
Linho (semente),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Malva (fibra),0.0,0.0,0.0,0.0,0.0,0.0,58.47,0.0,0.0,41.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamona (baga),0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.04,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Mamão,0.03,0.19,0.38,0.45,0.14,0.94,2.05,0.32,0.4,3.88,0.91,0.74,2.74,34.89,6.99,2.8,1.5,0.04,8.41,0.43,0.33,0.34,0.0,25.43,4.28,0.02,1.37
Mandioca,0.1,0.91,3.49,1.41,1.3,1.84,5.01,0.84,4.39,22.77,1.49,0.44,3.19,7.74,4.56,1.13,3.38,3.31,1.71,0.85,11.34,7.59,1.34,0.6,3.1,0.94,5.24
Manga,0.09,0.23,0.0,0.09,0.3,0.0,0.0,0.0,0.12,0.01,0.0,0.01,1.94,40.92,5.58,1.41,20.43,0.54,3.61,0.91,0.54,0.14,0.0,1.54,7.62,0.14,13.81
Maracujá,0.27,0.75,0.17,0.61,0.21,0.37,1.77,0.21,0.01,3.53,0.61,1.16,3.55,37.51,16.45,2.49,5.53,0.06,3.89,2.33,3.11,0.69,4.24,1.57,4.07,0.95,3.89
Marmelo,0.0,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.88,0.0,0.0,59.7,0.0,0.0
Maçã,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,47.94,47.84,0.0,0.68,0.0,0.47
Melancia,0.0,6.22,1.88,2.0,5.06,1.3,2.86,0.49,1.38,4.08,0.71,1.53,1.42,12.95,2.15,0.29,2.77,2.62,14.37,0.13,2.67,20.36,2.3,0.37,1.68,0.0,8.38
